ID	Mission	nPoints	Engine	Fuel	Sulfur	Aromatics	Naph	Hydrogen	TempC	ColdEIn	HotEIn	VolEIn	mBC	ColdV	HotV	VolV	Org_Fract	SO4_Fract	mOrg	mSO4	Engine2	Engine3	N1	N2	EGT	FF	ColdGMD	ColdVMD	HotGMD	HotVMD
78	APEX	182	3	JP-8	383	17.6	0.93	13.69	28	1.08E+16	1.36E+14	1.07E+16	18.42	63.8	37.8	26.0	NA	NA	NA	NA	0	1	74.5	90	925	0.602142365	11.60228	38.2172575	22.6882275	60.270845
79	APEX	228	3	JP-8	383	17.6	0.93	13.69	33	2.81E+15	1.31E+14	2.68E+15	14.68	33.7	26.9	6.7	NA	NA	NA	NA	0	1	75	92	932	0.602142365	12.416606	49.302852	18.4441125	66.0480225
80	APEX	234	3	JP-8	383	17.6	0.93	13.69	23	1.40E+16	2.21E+14	1.38E+16	29.40	90.7	55.9	34.8	NA	NA	NA	NA	0	1	76.7	92	933	0.602142365	11.92695143	40.28716	21.90971143	67.74726857
81	APEX	231	3	JP-8	383	17.6	0.93	13.69	24	1.56E+16	1.77E+14	1.54E+16	19.07	63.7	38.3	25.4	NA	NA	NA	NA	0	1	74.5	91	912	0.602142365	11.99611833	32.07176333	18.505795	63.991885
82	APEX	248	3	JP-8	383	17.6	0.93	13.69	24	1.71E+16	1.33E+14	1.70E+16	10.94	51.4	26.5	24.8	NA	NA	NA	NA	0	1	72	90	892	0.602142365	11.86270833	26.02418333	18.2993	60.332738
83	APEX	255	3	Sulfur	1595	17.3	1.31	13.67	32	1.26E+16	1.96E+14	1.24E+16	17.15	64.6	29.7	35.0	NA	NA	NA	NA	0	1	74.5	92	948	0.602142365	13.4116125	35.01612375	15.87236125	59.935315
84	APEX	225	3	Sulfur	1595	17.3	1.31	13.67	26	3.04E+16	1.98E+14	3.02E+16	23.71	135.7	42.7	93.0	0.576	0.424	64.2821698	47.304523	0	1	76.8	92	944	0.602142365	15.01460286	30.30876286	19.65765833	63.70038333
85	APEX	216	3	Sulfur	1595	17.3	1.31	13.67	26	3.35E+16	1.59E+14	3.34E+16	15.98	121.0	28.1	93.0	NA	NA	NA	NA	0	1	74.5	91	927	0.602142365	15.31539833	24.24038333	16.36265833	62.12873833
86	APEX	212	3	Sulfur	1595	17.3	1.31	13.67	26	3.68E+16	1.12E+14	3.67E+16	8.39	116.3	17.0	99.3	0.614	0.386	73.11707641	46.03062191	0	1	71.9	90	896	0.602142365	15.37203167	21.987175	16.807748	61.194748
87	APEX	224	3	Aromatic	530	21.8	1.34	13.7	29	1.12E+16	1.46E+14	1.11E+16	16.76	52.4	32.4	20.0	NA	NA	NA	NA	0	1	74.6	92	936	0.602142365	11.32180667	36.79225333	21.86366	61.92956
88	APEX	245	3	Aromatic	530	21.8	1.34	13.7	21	1.75E+16	2.52E+14	1.73E+16	33.41	102.3	63.4	38.9	NA	NA	NA	NA	0	1	76.9	90	939	0.602142365	12.4815225	39.4538575	22.73280143	68.69989857
89	APEX	219	3	Aromatic	530	21.8	1.34	13.7	22	1.96E+16	2.01E+14	1.94E+16	22.96	75.6	37.2	38.4	0.734	0.266	33.85365947	12.28216865	0	1	74.5	90	922	0.602142365	12.69467667	31.03270333	20.95966	64.18362333
90	APEX	295	3	Aromatic	530	21.8	1.34	13.7	22	2.21E+16	1.50E+14	2.19E+16	11.73	57.0	22.5	34.5	0.653	0.347	26.98787611	14.36733653	0	1	72	90	899	0.602142365	12.82394778	23.78931	20.22458167	59.43779167
91	AAFEX-I	170	3	JP-8	1148	18.6	1.6	13.6	5.7	2.6E+16	3.5E+14	2.53E+16	17.12	75.7	15.6	60.1	NA	NA	NA	NA	0	1	75.02200005	89	888	0.602142365	13.1186	24.7501	15.2375	67.4248
92	AAFEX-I	180	2	JP-8	1148	18.6	1.6	13.6	5.8	2.0E+16	5.2E+14	1.90E+16	40.21	100.5	29.9	70.6	NA	NA	NA	NA	1	0	NA	NA	NA	0.602142365	14.2645	36.1685	17.6936	73.5533
93	AAFEX-I	60	3	JP-8	1148	18.6	1.6	13.6	4.4	2.9E+16	5.1E+14	2.89E+16	30.50	105.7	43.9	61.8	NA	NA	NA	NA	0	1	91.84644053	90	884	0.602142365	16.1472	33.5573	20.0647	117.667
94	AAFEX-I	120	3	JP-8	1148	18.6	1.6	13.6	4.2	4.9E+15	5.4E+14	4.34E+15	31.94	112.5	44.3	68.2	NA	NA	NA	NA	0	1	91.84644053	90	884	0.602142365	16.3894	50.0139	19.7072	101.65
95	AAFEX-I	65	2	JP-8	1148	18.6	1.6	13.6	4.0	2.4E+16	7.9E+14	2.34E+16	70.47	144.0	75.2	68.9	NA	NA	NA	NA	1	0	NA	NA	NA	0.602142365	16.6136	48.3435	23.3624	101.316
96	AAFEX-I	160	2	JP-8	1148	18.6	1.6	13.6	9.4	3.9E+15	7.6E+14	3.15E+15	80.62	158.7	64.6	94.0	0.848	0.152	95.6733261	17.1612339	1	0	NA	NA	NA	0.602142365	14.9515	48.1579	23.5484	80.0756
97	AAFEX-I	150	3	JP-8	1148	18.6	1.6	13.6	9.5	2.4E+16	5.4E+14	2.37E+16	41.25	104.3	32.7	71.6	0.921	0.079	79.11491348	6.799566521	0	1	74.77651747	91	899	0.602142365	13.2209	34.2221	17.4763	72.7246
98	AAFEX-I	150	3	JP-8	1148	18.6	1.6	13.6	9.8	2.6E+16	4.7E+14	2.53E+16	31.75	100.2	27.4	72.8	0.831	0.169	72.58551003	14.77088997	0	1	74.6741037	91	893	0.602142365	13.2707	29.3854	19.4408	71.5319
99	AAFEX-I	128	2	JP-8	1148	18.6	1.6	13.6	-2.5	2.5E+16	8.6E+14	2.38E+16	76.21	174.1	69.6	104.5	0.921	0.079	115.5675672	9.878152772	1	0	NA	NA	NA	0.602142365	15.2377	41.1721	21.557	76.0312
100	AAFEX-I	132	3	JP-8	1148	18.6	1.6	13.6	-2.8	3.2E+16	6.3E+14	3.16E+16	39.72	127.8	43.4	84.3	0.921	0.079	93.23026418	7.965855816	0	1	75.80100199	89	873	0.602142365	13.9129	32.1397	20.5146	72.3326
