ID	Mission	nPoints	Engine	Fuel	Sulfur	Aromatics	Naph	Hydrogen	TempC	ColdEIn	HotEIn	VolEIn	mBC	ColdV	HotV	VolV	Org_Fract	SO4_Fract	mOrg	mSO4	ColdGMD	ColdVMD	HotGMD	HotVMD	Engine2	Engine3	N1	N2	EGT	FF
26	AAFEX-I	91	3	JP-8	1148	18.6	1.6	13.6	6.0	4.04E+16	1.95E+15	3.84E+16	10.94	139.90	35.32	104.6	NA	NA	NA	NA	17.8576	28.509	11.405	102.396	0	1	65.2	64	718	0.152
27	AAFEX-I	170	3	JP-8	1148	18.6	1.6	13.6	8.7	5.07E+16	2.11E+15	4.86E+16	12.08	144.87	14.66	130.2	NA	NA	NA	NA	14.4041	20.6676	11.3778	32.8489	0	1	25.2	62	734	0.151
28	AAFEX-I	135	2	JP-8	1148	18.6	1.6	13.6	8.7	4.38E+16	2.38E+15	4.14E+16	18.84	193.40	24.68	168.7	NA	NA	NA	NA	16.8489	25.1993	11.9543	33.2058	1	0	NA	NA	NA	0.137
29	AAFEX-I	122	2	JP-8	1148	18.6	1.6	13.6	9.6	1.58E+16	2.32E+15	1.35E+16	17.12	183.43	21.95	161.5	NA	NA	NA	NA	17.1932	25.0185	11.8966	29.584	1	0	NA	NA	NA	0.124
30	AAFEX-I	330	3	JP-8	1148	18.6	1.6	13.6	9.7	4.93E+16	1.94E+15	4.74E+16	8.26	160.43	12.93	147.5	NA	NA	NA	NA	15.5206	21.0169	11.2775	25.9524	0	1	25.2	62	700	0.151
31	AAFEX-I	179	3	JP-8	1148	18.6	1.6	13.6	10.2	6.06E+16	2.08E+15	5.85E+16	9.94	174.45	13.34	161.1	NA	NA	NA	NA	14.7391	20.8811	11.6012	35.2298	0	1	25.2	62	709	0.151
32	AAFEX-I	148	3	JP-8	1148	18.6	1.6	13.6	-2.8	6.07E+16	2.24E+15	5.85E+16	16.86	270.47	25.29	245.2	NA	NA	NA	NA	17.2924	24.6927	11.517	33.2089	0	1	21.7	58	720	0.140
33	AAFEX-I	122	2	JP-8	1148	18.6	1.6	13.6	-2.6	4.53E+16	2.53E+15	4.27E+16	26.21	276.34	32.64	243.7	NA	NA	NA	NA	18.1866	27.0919	11.9324	35.2161	1	0	NA	NA	NA	0.126
34	AAFEX-I	123	2	JP-8	1148	18.6	1.6	13.6	1.0	3.97E+16	1.48E+16	2.49E+16	23.76	223.98	100.92	123.1	NA	NA	NA	NA	17.9878	26.3205	15.0657	26.2365	1	0	NA	NA	NA	0.125
35	AAFEX-I	128	3	JP-8	1148	18.6	1.6	13.6	0.9	5.43E+16	NA	NA	20.09	229.29	117.20	112.1	NA	NA	NA	NA	16.633	23.9027	14.8137	24.4454	0	1	25.5	62	686	0.152
36	AAFEX-I	120	3	FT1	19	0	0	15.5	12.5	4.93E+15	2.01E+14	4.73E+15	2.94	20.50	7.54	13.0	0.538	0.462	8.367922741	7.186969259	11.3425	40.5924	12.788	43.1795	0	1	25.0	64	723	0.150
37	AAFEX-I	180	2	JP-8	1148	18.6	1.6	13.6	12.7	1.18E+16	2.02E+15	9.81E+15	15.92	158.12	27.83	130.3	NA	NA	NA	NA	16.8632	24.958	11.9313	35.5851	1	0	NA	NA	NA	0.137
38	AAFEX-I	140	2	JP-8	1148	18.6	1.6	13.6	14.4	3.16E+16	1.80E+15	2.98E+16	18.50	149.02	23.05	126.0	NA	NA	NA	NA	16.0289	23.3818	11.9708	36.199	1	0	NA	NA	NA	0.109
39	AAFEX-I	150	3	FT1	19	0	0	15.5	14.5	4.74E+15	3.39E+13	4.70E+15	5.08	27.78	5.12	22.7	0.778	0.222	21.16529385	6.027282148	14.422	24.2468	12.0237	44.583	0	1	25.0	64	712	0.137
40	AAFEX-I	150	3	FT1	19	0	0	15.5	15.1	4.21E+15	1.46E+13	4.20E+15	4.28	2.87	0.48	2.4	NA	NA	NA	NA	10.3813	46.6494	16.9348	86.1456	0	1	25.5	64	720	0.137
41	AAFEX-I	130	3	FT1	19	0	0	15.5	-0.6	4.97E+15	2.15E+13	4.95E+15	4.51	2.43	0.27	2.2	NA	NA	NA	NA	10.2868	11.9511	15.4661	31.743	0	1	25.6	62	703	0.154
42	AAFEX-I	190	2	JP-8	1148	18.6	1.6	13.6	-0.5	4.24E+16	2.32E+15	4.00E+16	22.26	204.57	18.21	186.4	NA	NA	NA	NA	18.3613	24.1788	12.0195	22.2901	1	0	NA	NA	NA	0.140
